campaign_tag,sample_id,sample_index,method_order,method_key,method_label,method_group,schedule_mode,shots,target_selection_mode,target_fraction,ground_energy,top_energy,jzz,hx,hz,bad_final_count,bad_final_rate,n_diverged,mean_normalized_gap,median_normalized_gap,mean_total_steps
commeff_tfim_8qubit,H00002,2,4,top50_fixed,top50_fixed,targeted_pauli,staged_prob_schedule,,top,0.5,-14.394334375222694,14.394334375222694,-1.922442538910711,0.8416061333504223,0.0,53,0.53,0,0.104243,0.10464999999999999,882.1
commeff_tfim_8qubit,H00002,2,5,top90_fixed,top90_fixed,targeted_pauli,staged_prob_schedule,,top,0.9,-14.394334375222694,14.394334375222694,-1.922442538910711,0.8416061333504223,0.0,44,0.44,0,0.06019999999999999,0.0161,589
commeff_tfim_8qubit,H00002,2,6,bottom10_fixed,bottom10_fixed,targeted_pauli,staged_prob_schedule,,bottom,0.1,-14.394334375222694,14.394334375222694,-1.922442538910711,0.8416061333504223,0.0,50,0.5,0,0.10551300000000002,0.10365,570.5
commeff_tfim_8qubit,H00002,2,7,bottom50_fixed,bottom50_fixed,targeted_pauli,staged_prob_schedule,,bottom,0.5,-14.394334375222694,14.394334375222694,-1.922442538910711,0.8416061333504223,0.0,28,0.28,0,0.06639099999999999,0.0161,726.6
commeff_tfim_8qubit,H00002,2,8,bottom90_fixed,bottom90_fixed,targeted_pauli,staged_prob_schedule,,bottom,0.9,-14.394334375222694,14.394334375222694,-1.922442538910711,0.8416061333504223,0.0,37,0.37,0,0.051794,0.0161,667.2
commeff_tfim_8qubit,H00002,2,9,shot_100,shot_100,shot,,100,,,-14.394334375222694,14.394334375222694,-1.922442538910711,0.8416061333504223,0.0,63,0.63,0,0.11837652078706773,0.13134551708326736,1000
commeff_tfim_8qubit,H00003,3,1,clean,clean,clean,,,,,-10.545593734894037,10.545593734894037,1.3212546470614317,0.8099413834553117,0.0,45,0.45,0,0.09594500000000002,0.09395,1000
commeff_tfim_8qubit,H00003,3,2,full,full,full_noise,staged_prob_schedule,,,1.0,-10.545593734894037,10.545593734894037,1.3212546470614317,0.8099413834553117,0.0,43,0.43,0,0.061623000000000004,0.0302,578
commeff_tfim_8qubit,H00003,3,3,top10_fixed,top10_fixed,targeted_pauli,staged_prob_schedule,,top,0.1,-10.545593734894037,10.545593734894037,1.3212546470614317,0.8099413834553117,0.0,66,0.66,1,0.1220222222222222,0.1219,748.1
commeff_tfim_8qubit,H00003,3,4,top50_fixed,top50_fixed,targeted_pauli,staged_prob_schedule,,top,0.5,-10.545593734894037,10.545593734894037,1.3212546470614317,0.8099413834553117,0.0,41,0.41,0,0.09903300000000001,0.0928,867
commeff_tfim_8qubit,H00003,3,5,top90_fixed,top90_fixed,targeted_pauli,staged_prob_schedule,,top,0.9,-10.545593734894037,10.545593734894037,1.3212546470614317,0.8099413834553117,0.0,29,0.29,0,0.051611000000000004,0.0302,609
commeff_tfim_8qubit,H00003,3,6,bottom10_fixed,bottom10_fixed,targeted_pauli,staged_prob_schedule,,bottom,0.1,-10.545593734894037,10.545593734894037,1.3212546470614317,0.8099413834553117,0.0,47,0.47,0,0.10043800000000001,0.09839999999999999,606
commeff_tfim_8qubit,H00003,3,7,bottom50_fixed,bottom50_fixed,targeted_pauli,staged_prob_schedule,,bottom,0.5,-10.545593734894037,10.545593734894037,1.3212546470614317,0.8099413834553117,0.0,31,0.31,0,0.08031,0.0349,732.6
commeff_tfim_8qubit,H00003,3,8,bottom90_fixed,bottom90_fixed,targeted_pauli,staged_prob_schedule,,bottom,0.9,-10.545593734894037,10.545593734894037,1.3212546470614317,0.8099413834553117,0.0,6,0.06,0,0.03468899999999999,0.0302,711
commeff_tfim_8qubit,H00003,3,9,shot_100,shot_100,shot,,100,,,-10.545593734894037,10.545593734894037,1.3212546470614317,0.8099413834553117,0.0,71,0.71,0,0.11958303577260901,0.12685599582360368,1000
